corpusid,openaccessinfo,abstract
129174687,"{'externalids': {'MAG': '2178637971', 'ACL': None, 'DOI': None, 'PubMedCentral': None, 'ArXiv': None}, 'license': None, 'url': None, 'status': None}","Resumen es: Este ensayo se ocupa del cambio cultural, tomando en cuenta la relacion entre los campos politico y religioso; ambos muestran la tension que existe entr..."
138156802,"{'externalids': {'MAG': '2355932430', 'ACL': None, 'DOI': None, 'PubMedCentral': None, 'ArXiv': None}, 'license': None, 'url': None, 'status': None}","In order to study the law of hydrogen content variation of molten steel and the influence on flaw detection,the hydrogen content in LF refining process was measured by HYDRIS hydrogen analyzer.The results show that temperature raising period,Ca-treatment and soft blowing argon period are the main hydrogen increasing process,as the 83.33% increasing content are 64×10-4 and 46×10-4 respectively.The water in refining slag and submerged arc slag leaded to hydrogen content increasing in temperature raising period,while too fast wire-feeding speed leaded to hydrogen content increasing in Ca-treatment and soft blowing argon period.In addition,the desulfuration and alloying period was another important process for hydrogen increasing as the 16.67% increasing content was 0.22×10-6,and the inducement for this was long time of large blowing argon.The flaw detection qualification rate decreased gradually as the hydrogen content increased in molten steel and the flaw detection qualification rate can reach to 100% when hydrogen content was less than(3-4)×10-6."
146360908,"{'externalids': {'MAG': '2184422161', 'ACL': None, 'DOI': None, 'PubMedCentral': None, 'ArXiv': None}, 'license': None, 'url': None, 'status': None}","Background: The smile is one of the most important facial expressions and is essential in expressing friendliness, agreement and appreciation. The evaluation of the intrinsic characteristics of the smile is a necessary procedure to achieve consistent form in orthodontic treatments, which in turn makes it necessary to recognize the components and factors that affect these characteristics. Objectives: The study was conducted to evaluate various characterstics of smile in Haryanavi females which may serve as a guideline for enhancement of esthetic and cosmetic surgery. Material and methods: The present study was conducted on 50 females age group 18-25 years in Pt. B.D. Sharma Post graduate institute of Medical Sciences, Rohtak. The photographs were clicked with the digital camera with high resolution. The following parameters of smile were noted in all the subjects: Position of upper lip while smiling, alignment of upper incisal edge to lower lip, Tooth-lower lip position. Results: The high position of upper lip while smiling was noted in 56% cases, alignment of upper incisal edge to lower lip was convex in 54% cases, Toothlower lip position was not touching in 54% cases. Conclusions: The present study will provide baseline data of an esthetic smile in Haryanavi females. The baseline data may serve as a guideline for restoration or enhancement of esthetics for the anterior component of the dentition."
148487053,"{'externalids': {'MAG': '2379155465', 'ACL': None, 'DOI': None, 'PubMedCentral': None, 'ArXiv': None}, 'license': None, 'url': None, 'status': None}","This article analyzes intercultural communication teaching for undergraduate English majors at Chinese universities from the perspective of curriculum,teaching content and teaching methods.It argues that in the world of globalization,communication happens among people from multicultural backgrounds.In intercultural communication teaching,native culture should be further stressed,and teachers should help students develop positive cultural attitudes and improve intercultural communication competence."
130085150,"{'externalids': {'MAG': '2363248488', 'ACL': None, 'DOI': None, 'PubMedCentral': None, 'ArXiv': None}, 'license': None, 'url': None, 'status': None}","In this paper,using well logging and well history data and the key layer analytical method,the layers of Minghuazhen and Guantao were confirmed as easiest instable layers.The pore pressure was calculated by using equivalent depth method,and the calculated pore pressure coincided with that of tested.The vertical earth stress was calculated by using density logging data,and horizontal earth stress was also calculated using improved Huang's modulus.Using the research results above mentioned and rock strength parameters,the caving pressure and fracture pressure were calculated.Combined with surge pressure,the safe density window of drilling fluid was given.The application results showed that the recommended mud density meets the need of wellbore stability,and which is lower than that of design."
11654803,"{'externalids': {'MAG': '2187682119', 'ACL': None, 'DOI': None, 'PubMedCentral': None, 'ArXiv': None}, 'license': None, 'url': None, 'status': None}","Špecializovaný banícky GIS systém MineGIS SMZ Jelšava Following, the real needs for new mining information system requested by SMZ Jelšava, the Department of Mineral Deposits and Applied Geology (KLaAG) at the Technical University of Košice (TUKE) has prepared a specification for the specialized mining geographic information system called MineGIS SMZ Jelšava. The main roles of the new system have been defined as follows of reserves: the administration, analyse and the visualization of all mining geo-data related to the estimation."
89178426,"{'externalids': {'MAG': '2410856466', 'ACL': None, 'DOI': None, 'PubMedCentral': None, 'ArXiv': None}, 'license': None, 'url': None, 'status': None}","In chick embryos treated with a 4 hr pulse of 7.2 X 10(-5) M isonicotinic acid hydrazide (INH) the cell population growth is inhibited with an increased population doubling time. Teratogenised blastoderm cells complete their ongoing cell cycle and arrest in G1 phase. A chase with an equimolar concentration of pyridoxal-5-phosphate restores the growth rate after a lag of 4 hr equivalent to the duration of treatment with INH. Presumptive mesoblast cells invaginated through the primitive streak and neuroectoblast cells induced prior to the application of INH differentiate, while the teratogen inhibits morphogenesis and organization of organ primordia."
91560205,"{'externalids': {'MAG': '45724710', 'ACL': None, 'DOI': None, 'PubMedCentral': None, 'ArXiv': None}, 'license': None, 'url': None, 'status': None}","Selulosa asetat adalah senyawa turunan selulosa yang banyak digunakan sebagai serat, membran, dan film fotografi. Selama ini selulosa asetat dibuat dari selulosa kayu yang telah dipisahkan dari lignin dan hemiselulosa. Sumber selulosa kayu memerlukan waktu tanam yang lama dan proses pemisahan selulosa yang tidak efektif Penemuan metode sintesis bioselulosa nata de coco dari fermentasi air kelapa menyediakan sumber selulosa bare dengan keunggulan sifat selulosa yang murni dan mudah didegradasi. 
Selulosa asetat disintesis melalui reaksi asetilasi. Atom hidrogen pada gugus hidroksil bioselulosa nata de coco disubstitusi dengan gugus asetil, setelah sebelumnya bioselulosa nata de coco digembungkan dengan asam asetat. Katalis yang dipakai adalah asam sulfat dan reaksi asetilasi dilakukan pada suhu sekitar 5 °C. 
Spektra FTIR menunjukkan gugus-gugus fungsi produk asetilasi adalah selulosa asetat. Melalui metode XRD diketahui kristalinitas selulosa asetat lebih rendah daripada kristalinitas bioselulosa nata de coco. Kekuatan tarik selulosa asetat dengan metode tensile strength menunjukkan penurunan kekuatan tarik selulosa asetat seiring bertambahnya asam asetat anhidrid yang digunakan pada reaksi asetilasi. Cellulose acetate is a derivative of cellulose that widely used as fiber, membrane, and photographic films. So far, cellulose acetate was made from wood cellulose that had been purified from lignin and hemicelullose. Wood cellulose sources take long time to be used as raw material and the purification process is uneffective. Biocellulose nata de coco that synthezed from coconut water provided new source of cellulose with highly pure cellulose and degradable. 
Acetylation reaction was done to obtain cellulose acetate. The hydrogen atom of hidroxyl groups of biocellulose nata de coco were substituted by acetyl groups, after biocellulose nata de coco was swollen by acetic acid. This process using sulfuric acid as a catalyst and was done in approximate 5 °C. 
FTIR spectra proves that functional group that obtained in acetylation reaction is cellulose acetate. XRD spectra indicated that cellulose acetate crystalinity is lower than biocellulose nata de coco crystalinity. Tensile strength graphic showed that raising the concentration of acetic anhydride in acetylation reaction can decrease the tensile strength of cellulose acetate."
75926179,"{'externalids': {'MAG': '2371508542', 'ACL': None, 'DOI': None, 'PubMedCentral': None, 'ArXiv': None}, 'license': None, 'url': None, 'status': None}","Objective To study the effect of euthyroid sick syndrome (ESS)on prognosis of congestive heart failure in elder patients.Methods The serum content of thyroxine in elder patients with congestive heart failure was measured. Plasma levels of triiodothyronine (T3), thyroxine (T4), free triiodothyronine (FT3), free thyroxine (FT4) and thyroid-stimulating hormone (TSH) were determined by chemiluminescence immunoassay in elder patients with congestive heart failure (n=60).Results The levels of T3 and FT3 decreased significantly in elder patients with congestive heart failure (NYHA classification class IV) in comparison with those of control group (NYHA classification classⅡand III)(P0.05).Conclusion Euthyroid sick syndrome (ESS) is correlated with the prognosis of congestive heart failure in elder patients, and low levels of T3 and FT3 are indications for worse prognosis of congestive heart failure in elder patients."
81450437,"{'externalids': {'MAG': '107209180', 'ACL': None, 'DOI': None, 'PubMedCentral': None, 'ArXiv': None}, 'license': None, 'url': None, 'status': None}","Influence of new carotene chlorophyll feed additive «Larikarvit» on the morphological, biochemical status of an organism and meat efficiency of goose young growth is studied. It is established that this preparation do not have negative impact on an organism, on the contrary promotes activization of the morphological, biochemical status and increase of meat efficiency of gees."
102404147,"{'externalids': {'MAG': '2389133898', 'ACL': None, 'DOI': None, 'PubMedCentral': None, 'ArXiv': None}, 'license': None, 'url': None, 'status': None}","The paper describes all kinds of production deviations during Freeze-drying of sterile drugs,analyzes the reason,and puts forward the improvement measures,then it can cut down the reject rate and the cost,and improve the quality."
106971310,"{'externalids': {'MAG': '834825379', 'ACL': None, 'DOI': None, 'PubMedCentral': None, 'ArXiv': None}, 'license': None, 'url': None, 'status': None}","This document contains information within the purview of the Export Administration Regulations (EAR), 15 CFR 730–774, and is export controlled. It may not be transferred to foreign nationals in the U.S. or abroad without specific approval of a knowledgeable NASA export control official, and/or unless an export license/license exception is obtained/available from the Bureau of Industry and Security, United States Department of Commerce. Violations of these regulations are punishable by fine, imprisonment, or both. Restriction changed to Unclassified/Unlimited on July 27, 2005, by authority of the NASA Glenn Research Center, Structures Division. Jed A. Walowit Jed A. Walowit, Inc., Clifton Park, New York"
41710821,"{'externalids': {'MAG': '2411003628', 'ACL': None, 'DOI': None, 'PubMedCentral': None, 'ArXiv': None}, 'license': None, 'url': None, 'status': None}","Leprosy patients were skin tested for induction of skin delayed type hypersensitivity (DTH) with various preparations of Dharmendra Antigen (DA) (sonicated antigen, DNA + RNA and DNA). Extracted nucleic acids produced smaller reactions (including some negative ones) as compared to sonicated whole antigen (which included proteins). BCG fractions, prepared similarly, produced non specific skin reactions."
51995040,"{'externalids': {'MAG': '2742197100', 'ACL': None, 'DOI': None, 'PubMedCentral': None, 'ArXiv': None}, 'license': None, 'url': None, 'status': None}","Modernity is characterized by profound changes in all spheres of human life caused by the global transformations on macro and micro levels of social reality. These changes allow us to speak about the present as the era of civilizational transition in the mode of uncertainty. Therefore, this situation demands qualitative transformations of human adaptive strategies and educational technologies accordingly. The dominant role in the dynamics of pedagogics and andragogy’s landscape belongs to transformative learning. The transformative learning theory is considered as the relevant approach to education of the individual, which is able to become an autonomous communicative actor of the social complexity. The article considers the cognitive technologies of social cohesion development and perspectives of their implementation in the educational dimension. In addition to implementing the principles of inclusion, equity in education, an important factor for improving social cohesion, stability and unity of society is the development of cognitive educational technologies. The key factors and foundations for the cognitive educational technologies are transversal competencies. They create the conditions for civil, public dialogue, non-violent type of communication. These “21st century skills” are extremely important for better human adaptation. One of the aspects and roots of social adaptation is social cohesion. Mutual determinations and connections between social cohesion development and transversal competences have been shown. The perspective direction of further researches is to find a methodological base for the further development of cognitive education technologies and platform for realization of innovative services for educational programs. New educational paradigm offers the concept of human adaptation as cognitive effectiveness and how to reach it through educational technologies. The article includes topics of creative thinking, teambuilding abilities, effective decision-making, engagement in the learning and teaching processes, cognitive skills improvement, social cohesion abilities, etc."
55268774,"{'externalids': {'MAG': None, 'ACL': None, 'DOI': None, 'PubMedCentral': None, 'ArXiv': None}, 'license': None, 'url': None, 'status': None}",Article history: Received 25 March 2014 Received in revised form 20 April 2014 Accepted 15 May 2014 Available online 10 June 2014
55303310,"{'externalids': {'MAG': '1680124397', 'ACL': None, 'DOI': None, 'PubMedCentral': None, 'ArXiv': None}, 'license': None, 'url': None, 'status': None}","To search for signals from extreme short bursts in the universe, we have performed the large-scale coincidence analysis, using EAS data from five stations of the Large Area Air Shower (LAAS) group. By comparing arrival times and arrival directions of EAS detected at distant stations, coincident and parallel EAS pairs were extracted out of a sea of background cosmic rays. One of them was intriguingly observed from directions consistent with the Crab Nebula, a previously reported UHE γ-ray source. The preliminary results reported here allow the analysis techniques to be tested and demonstrate the potential of observations with the full operation of the network detector system as a cosmic ray interferometer. pp. 191–194 c ©2003 by Universal Academy Press, Inc."
123195434,"{'externalids': {'MAG': '2258183507', 'ACL': None, 'DOI': None, 'PubMedCentral': None, 'ArXiv': None}, 'license': None, 'url': None, 'status': None}",This thesis is about the numerical calculation of loop integrals which appear at higher orders in perturbative theory. Analogous to the reel emission one can introduce subtraction terms which remove the collinear and soft divergencies of a loop integral. The phase space and the loop integration can then be performed numerical in single Monte Carlo integration. In this thesis we show how to perform such a numerical integration with the help of contour deformation. We also show how one can calculate the necessary integrands with recurrence relations.
