venueID,journalName,issn,url
5ca77533-29f8-48aa-bc16-1432a35ad9c1,Analytical Sciences,0910-6340,https://www.jstage.jst.go.jp/browse/analsci/
0c74181f-080f-44e8-aa1d-fc404298096b,Jurnal Tadris Kimiya,2527-9637,https://journal.uinsgd.ac.id/index.php/tadris-kimiya
8f463136-4465-455a-b978-1412a7beb6f9,International Pest Control,0020-8256,http://www.researchinformation.co.uk/ipcoarchindex.php
5bb2682d-78e4-4d64-8022-c89ad35aae8e,Transactions on Electrical and Electronic Materials,1229-7607,http://www.kieeme.or.kr/04_library/library04.htm?state=3
9d26d6ea-d0d7-4d27-94c6-e735f831509c,SAGE Open Medicine,2050-3121,https://journals.sagepub.com/home/smo
9a697a9f-6d90-4a86-ae77-58043249dcd9,Journal of clinical nephrology & kidney diseases,2689-9515,http://www.remedypublications.com/journal-of-clinical-nephrology-kidney-diseases-home.php
44c9ee9e-e66d-438d-821c-a6d0bfc2749a,Foundations and Trends® in Marketing,1555-0761,https://www.nowpublishers.com/
27efdc47-124c-4311-a4ef-28036a0cbf64,Journal of Forestry and Environment,2622-2264,https://journal.uniku.ac.id/index.php/forestry-and-environment
f2f0f4d5-a139-4420-9337-4d157827fc3b,The Catholic Biblical Quarterly,0008-7912,http://cba.cua.edu/CBQ.cfm
fe824f38-150f-4635-b7f6-0b31dd00981f,Zuchtungskunde,0044-5401,http://www.zuechtungskunde.de/
4c04ecbc-9748-4205-8401-e315cc2e70b1,PETITUM,2339-2320,
0597b8f4-b3fc-4dfb-b8b5-9a521e99aebb,Pernatye Hiŝniki i Ih Ohrana,1814-0076,http://rusraptors.ru/index.php/RC/index
93906373-b752-4182-9926-7666c98246a3,Journal of architecture and construction,2637-5796,https://www.sryahwapublications.com/journal-of-architecture-and-construction/
d14ad380-667a-41eb-bc06-51a56e9a8240,OECD Economic Studies,0255-0822,"http://www.oecd.org/document/59/0,2340,en_2649_33733_2744443_1_1_1_1,00.html"
6665a9d1-f363-4bd4-8759-3b16a4233da0,Vodosnabzhenie i sanitarnaia tehnika,0321-4044,
d58a0a22-0125-4f65-bec5-1ef0fa42e039,TERAJU,2715-3878,http://ejournal.stainkepri.ac.id/index.php/teraju
6f0f05de-68df-4d50-95aa-f73ee3a4ab8e,Journal of advertising and public relations,2639-1953,https://www.sryahwapublications.com/journal-of-advertising-and-public-relations/archive
98ba351e-edaa-4625-97de-de4d134f4c3e,Photonics,2304-6732,http://www.e-helvetica.nb.admin.ch/directAccess?callnumber=bel-364027
fc392fe8-7481-456a-b544-c4a80b0b1352,World journal of life sciences research,2334-489X,http://www.wjlsr.com/Current%20Issue.php
cf7a231d-56d1-46eb-bbda-06f602fafa30,Les Études philosophiques,0014-2166,https://www.puf.com/Collections/Etudes_philosophiques_-les-
92156813-c8b7-4d81-a500-64dc6bc03216,Charm Sains: Jurnal Pendidikan Fisika,2722-5860,
e7d5d3ac-f3e8-4231-bcfb-712e97b78998,J-Kesmas: Jurnal Fakultas Kesehatan Masyarakat (The Indonesian Journal of Public Health),2355-0988,http://www.utu.ac.id/
6525412a-65c6-4c7d-9dd9-dc2cf40797c2,Kocaeli Üniversitesi Fen Bilimleri Dergisi,2667-4858,
31497f32-73e8-4ba3-b999-5d897d95c9e4,Ocean & Coastal Law Journal,1073-8843,https://digitalcommons.mainelaw.maine.edu/oclj/
4cbdc05b-ce4f-496d-b14c-4cd93d7a972f,Superalloys,,
5393dc5b-c9af-4591-b175-dd75c3b80b56,Cendekia: Jurnal Kependidikan dan Kemasyarakatan,1693-1505,http://jurnal.stainponorogo.ac.id/index.php/cendekia/index
bfcca754-6c59-4b8a-97b1-13eac9a99988,Artefactual Field Experiments,,
7f0e7129-4141-4b11-957f-5ad20bb1458e,Sewanee Review,0037-3052,http://muse.jhu.edu/journals/sewanee_review/
4f1b170f-38ed-45f3-b195-0d4bb0a86d23,IAMURE International Journal Of Health Education,2244-1840,http://www.ejournals.ph/index.php?journal=IAMURE-HE
66549ff8-1343-4c3f-b731-443baea15a80,The Korea  Journal of Buddhist Professors,2092-6553,
5017deb2-77d5-4c9a-9bbc-cdea5cecca0e,Perfiles Educativos,0185-2698,https://www.sciencedirect.com/journal/perfiles-educativos
45bb439d-5d42-4893-8458-51238b2ad10e,Akdeniz Havzası ve Afrika Medeniyetleri Dergisi,2717-7548,
