paperID,keyword
232002736,internet of things
27244264,artificial intelligence
187295235,computer vision
187295235,cloud computing
187295235,reinforcement learning
186977385,deep learning
186977385,cloud computing
148662897,natural language processing
148662897,machine learning
147951709,computer vision
147951709,neural networks
147951709,big data
147951709,deep learning
147951709,reinforcement learning
176561991,computer vision
176561991,data mining
176561991,pattern recognition
176561991,robotics
120690647,artificial intelligence
10463111,big data
10463111,pattern recognition
10463111,data mining
10463111,cloud computing
10463111,neural networks
58113075,data science
58113075,data mining
58113075,pattern recognition
58113075,deep learning
75908838,computer vision
75908838,machine learning
75908838,cloud computing
75908838,neural networks
83938103,pattern recognition
83938103,internet of things
83938103,data science
114821127,computer vision
114821127,data mining
114821127,internet of things
166949395,reinforcement learning
166949395,machine learning
166949395,internet of things
166949395,data mining
166949395,cloud computing
202473233,data mining
202473233,machine learning
202473233,internet of things
202473233,artificial intelligence
202473233,natural language processing
199123959,computer vision
199123959,artificial intelligence
199123959,robotics
199123959,deep learning
199123959,big data
127200544,deep learning
133790351,computer vision
133790351,machine learning
133790351,data science
137761863,reinforcement learning
137761863,cloud computing
235484356,robotics
235484356,data science
28630532,machine learning
28630532,internet of things
28630532,reinforcement learning
28630532,cloud computing
25655394,neural networks
25655394,artificial intelligence
25655394,deep learning
25655394,natural language processing
110298854,robotics
186868338,data mining
186868338,deep learning
186868338,internet of things
186868338,data science
186868338,computer vision
147458872,big data
131065985,data science
131065985,natural language processing
131065985,artificial intelligence
131065985,robotics
245701070,big data
245701070,natural language processing
245701070,deep learning
226510755,reinforcement learning
226510755,natural language processing
35910203,pattern recognition
35910203,internet of things
35910203,artificial intelligence
35910203,machine learning
35910203,data science
247019183,pattern recognition
247019183,natural language processing
247019183,reinforcement learning
247019183,data mining
84365726,computer vision
84365726,data mining
84365726,reinforcement learning
84365726,pattern recognition
84365726,natural language processing
34333286,big data
34333286,neural networks
128938719,machine learning
128938719,pattern recognition
165070335,computer vision
114391730,machine learning
114391730,data mining
133758434,reinforcement learning
133758434,computer vision
133758434,natural language processing
133758434,data mining
191662050,natural language processing
191662050,cloud computing
191662050,big data
249370499,data science
249370499,machine learning
249370499,robotics
249370499,neural networks
249370499,deep learning
15395218,deep learning
15395218,pattern recognition
15395218,robotics
15395218,reinforcement learning
15395218,big data
258205738,machine learning
257891264,pattern recognition
257891264,data science
224986272,natural language processing
224986272,internet of things
224986272,data science
224986272,artificial intelligence
224986272,machine learning
46830937,pattern recognition
46830937,big data
193494242,robotics
193494242,cloud computing
193494242,computer vision
193494242,reinforcement learning
193494242,artificial intelligence
83037164,data mining
83037164,robotics
83037164,natural language processing
83037164,cloud computing
83037164,data science
100436279,internet of things
100436279,big data
100436279,artificial intelligence
100436279,machine learning
100436279,computer vision
87417287,reinforcement learning
87417287,machine learning
268173266,internet of things
268173266,computer vision
268173266,machine learning
268173266,data science
268173266,artificial intelligence
19773478,deep learning
19773478,artificial intelligence
19773478,natural language processing
19773478,computer vision
9169568,deep learning
224305705,data mining
224305705,data science
224305705,internet of things
224305705,reinforcement learning
111343877,data science
225798605,data science
225798605,reinforcement learning
225798605,robotics
225798605,internet of things
213039282,machine learning
38839406,internet of things
38839406,deep learning
38839406,pattern recognition
38839406,cloud computing
38839406,artificial intelligence
85764932,neural networks
176496998,artificial intelligence
176496998,data science
176496998,natural language processing
245592349,neural networks
245592349,natural language processing
243437010,artificial intelligence
185068317,computer vision
185068317,artificial intelligence
185068317,natural language processing
185068317,neural networks
